Date : 2020-12-06 22:14:18
Directory : d:\muyuan\my-iot-platform-frontend
Total : 3121 files,  3087267 codes, 169382 comments, 88406 blanks, all 3345055 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\d3\v3\d3.v3.min.js                                                                                                             | JavaScript |        564 |      8,705 |          0 |      9,269 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\d3\v3\iopctrl.js                                                                                                               | JavaScript |      1,052 |         13 |        112 |      1,177 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\d3\v3\liquidFillGauge.js                                                                                                       | JavaScript |        214 |         27 |         27 |        268 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\d3\v3\pointerevents.js                                                                                                         | JavaScript |         29 |          5 |          6 |         40 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\d3\v3\viz.v1.0.0.min.js                                                                                                        | JavaScript |        994 |          2 |          1 |        997 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\datePicker\datePicker.js                                                                                                       | JavaScript |        178 |          0 |          1 |        179 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\doors.js                                                                                                                       | JavaScript |        718 |         93 |        129 |        940 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\echarts.common.min.js                                                                                                          | JavaScript |          1 |         18 |          4 |         23 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\echarts.js                                                                                                                     | JavaScript |     57,056 |     25,971 |     13,206 |     96,233 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\edgeConnection.js                                                                                                              | JavaScript |         38 |          7 |          7 |         52 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\electron.js                                                                                                                    | JavaScript |          4 |          3 |          0 |          7 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\explore.js                                                                                                                     | JavaScript |        257 |         51 |         60 |        368 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\ckplayer\ckplayer.js                                                                                               | JavaScript |      1,207 |        282 |          1 |      1,490 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\ckplayer\ckplayer.xml                                                                                              | XML        |         34 |        245 |          1 |        280 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\ckplayer\language.xml                                                                                              | XML        |         24 |         57 |          0 |         81 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\ckplayer\related.xml                                                                                               | XML        |        102 |         19 |          0 |        121 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\ckplayer\share.xml                                                                                                 | XML        |         61 |          0 |          0 |         61 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\demo-dev.html                                                                                                      | HTML       |         42 |          0 |          7 |         49 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\demo-hls.html                                                                                                      | HTML       |         31 |          1 |          5 |         37 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\demo-jsmpeg.html                                                                                                   | HTML       |         42 |          0 |          7 |         49 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\demo-rtmp.html                                                                                                     | HTML       |         31 |          1 |          7 |         39 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\demo.html                                                                                                          | HTML       |         32 |          1 |          7 |         40 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\ezuikit.js                                                                                                         | JavaScript |        521 |         82 |         57 |        660 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\hls.js                                                                                                             | JavaScript |     12,443 |      2,495 |      2,326 |     17,264 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\hls.min.js                                                                                                         | JavaScript |          2 |          0 |          0 |          2 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\ezuikit\1.4\jsmpeg.min.js                                                                                                      | JavaScript |          3 |          0 |          0 |          3 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\flow.js                                                                                                                        | JavaScript |         81 |         11 |         13 |        105 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\README.md                                                                                                       | Markdown   |         30 |          0 |          6 |         36 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\assets\bootstrap.min.css                                                                                        | CSS        |          1 |          8 |          1 |         10 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\assets\excanvas.compiled.js                                                                                     | JavaScript |         22 |         13 |          1 |         36 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\assets\fd-slider\fd-slider-tooltip.css                                                                          | CSS        |         79 |         36 |          2 |        117 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\assets\fd-slider\fd-slider.css                                                                                  | CSS        |        121 |         19 |          4 |        144 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\assets\fd-slider\fd-slider.js                                                                                   | JavaScript |        892 |        127 |        193 |      1,212 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\assets\jscolor.js                                                                                               | JavaScript |        766 |         36 |        134 |        936 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\assets\main.css                                                                                                 | CSS        |        273 |          2 |          3 |        278 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\assets\prettify.css                                                                                             | CSS        |         39 |          4 |          6 |         49 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\assets\prettify.js                                                                                              | JavaScript |         28 |          0 |          1 |         29 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\bower.json                                                                                                      | JSON       |         17 |          0 |          1 |         18 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\gauge.js                                                                                                        | JavaScript |        884 |          6 |         98 |        988 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\index.html                                                                                                      | HTML       |        696 |          6 |         61 |        763 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\gauge.js-1.3.6\package.json                                                                                                    | JSON       |         12 |          0 |          1 |         13 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\import.js                                                                                                                      | JavaScript |        142 |         26 |         31 |        199 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\introjs\intro.js                                                                                                               | JavaScript |      1,513 |        658 |        361 |      2,532 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\introjs\introjs-rtl.css                                                                                                        | CSS        |         25 |          0 |          2 |         27 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\introjs\introjs.css                                                                                                            | CSS        |        465 |          8 |         34 |        507 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\iopctrl.js                                                                                                      | JavaScript |      1,045 |          6 |        113 |      1,164 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\CONTRIBUTING.md                                                                    | Markdown   |          1 |          0 |          1 |          2 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\README.md                                                                          | Markdown   |         83 |          0 |         34 |        117 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\pointerevents.js                                                                   | JavaScript |         29 |          5 |          6 |         40 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src\PointerEvent.js                                                                | JavaScript |         69 |         25 |         11 |        105 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src\boot.js                                                                        | JavaScript |         76 |         14 |          3 |         93 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src\capture.js                                                                     | JavaScript |         39 |          5 |          2 |         46 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src\dispatcher.js                                                                  | JavaScript |        249 |         74 |          5 |        328 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src\installer.js                                                                   | JavaScript |         93 |         23 |          6 |        122 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src\mouse.js                                                                       | JavaScript |        101 |         12 |          6 |        119 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src\ms.js                                                                          | JavaScript |         77 |          5 |          3 |         85 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src\platform-events.js                                                             | JavaScript |         19 |         11 |          5 |         35 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src\pointermap.js                                                                  | JavaScript |         52 |          9 |          4 |         65 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src\touch-action.js                                                                | JavaScript |         46 |          7 |          3 |         56 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerEvents\src\touch.js                                                                       | JavaScript |        299 |         45 |          5 |        349 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\CONTRIBUTING.md                                                                  | Markdown   |          1 |          0 |          1 |          2 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\README.md                                                                        | Markdown   |         25 |          0 |          9 |         34 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\pointergestures.js                                                               | JavaScript |         32 |          8 |          5 |         45 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\src\PointerGestureEvent.js                                                       | JavaScript |         19 |         20 |          9 |         48 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\src\dispatcher.js                                                                | JavaScript |        182 |         47 |          4 |        233 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\src\flick.js                                                                     | JavaScript |         78 |         49 |          3 |        130 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\src\hold.js                                                                      | JavaScript |         71 |         50 |          3 |        124 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\src\initialize.js                                                                | JavaScript |         51 |         14 |          2 |         67 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\src\pinch.js                                                                     | JavaScript |        102 |         50 |          4 |        156 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\src\pointermap.js                                                                | JavaScript |         52 |          9 |          4 |         65 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\src\registerScopes.js                                                            | JavaScript |         18 |         11 |          2 |         31 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\src\tap.js                                                                       | JavaScript |         79 |         36 |          2 |        117 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\PointerGestures\src\track.js                                                                     | JavaScript |         98 |        101 |          3 |        202 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\WeakMap\weakmap.js                                                                               | JavaScript |         27 |          5 |          5 |         37 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\iopctrl-master\vendor\polymer\tools\loader\loader.js                                                                           | JavaScript |         55 |         18 |         30 |        103 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\jquery-easyui-1.7.0\easyui.css                                                                                                 | CSS        |      3,458 |         10 |          2 |      3,470 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\jquery-easyui-1.7.0\icon.css                                                                                                   | CSS        |         93 |          0 |          4 |         97 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\jquery-easyui-1.7.0\jquery.easyui.min.js                                                                                       | JavaScript |     17,199 |          9 |          2 |     17,210 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\laydate\laydate.js                                                                                                             | JavaScript |          1 |          1 |          0 |          2 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\laydate\theme\default\font\iconfont.svg                                                                                        | XML        |         27 |          3 |         16 |         46 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\laydate\theme\default\laydate.css                                                                                              | CSS        |          1 |          1 |          0 |          2 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\mloading\jquery.mloading.css                                                                                                   | CSS        |          1 |          0 |          0 |          1 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\mloading\jquery.mloading.js                                                                                                    | JavaScript |        187 |          5 |         10 |        202 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\moment-timezone\moment-timezone-with-data-2012-2022.min.js                                                                     | JavaScript |          1 |          0 |          1 |          2 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\moment-timezone\moment-timezone-with-data.min.js                                                                               | JavaScript |          1 |          0 |          1 |          2 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\moment-timezone\moment-timezone.min.js                                                                                         | JavaScript |          1 |          5 |          0 |          6 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\moment-timezone\moment.js                                                                                                      | JavaScript |      2,359 |        265 |        571 |      3,195 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\moment-with-locales.js                                                                                                         | JavaScript |      8,607 |        584 |        786 |      9,977 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\number.js                                                                                                                      | JavaScript |         72 |          9 |         17 |         98 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\p1.js                                                                                                                          | JavaScript |         26 |         33 |          9 |         68 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\polyfill.min.js                                                                                                                | JavaScript |          4 |          0 |          1 |          5 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\props.js                                                                                                                       | JavaScript |        106 |         21 |         17 |        144 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\qrcode\jquery.qrcode.min.js                                                                                                    | JavaScript |         28 |          0 |          0 |         28 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\rackF5.js                                                                                                                      | JavaScript |      1,149 |        290 |        237 |      1,676 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\replay.js                                                                                                                      | JavaScript |        130 |         12 |         28 |        170 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\select2-4.0.6\css\select2.css                                                                                                  | CSS        |        532 |          0 |        103 |        635 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\select2-4.0.6\css\select2.min.css                                                                                              | CSS        |          1 |          0 |          1 |          2 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\select2-4.0.6\js\i18n\en.js                                                                                                    | JavaScript |          1 |          1 |          1 |          3 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\select2-4.0.6\js\i18n\zh-CN.js                                                                                                 | JavaScript |          1 |          1 |          1 |          3 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\select2-4.0.6\js\i18n\zh-TW.js                                                                                                 | JavaScript |          1 |          1 |          1 |          3 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\select2-4.0.6\js\select2.full.js                                                                                               | JavaScript |      4,934 |        346 |      1,280 |      6,560 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\select2-4.0.6\js\select2.full.min.js                                                                                           | JavaScript |          1 |          0 |          0 |          1 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\select2-4.0.6\js\select2.js                                                                                                    | JavaScript |      4,423 |        294 |      1,131 |      5,848 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\select2-4.0.6\js\select2.min.js                                                                                                | JavaScript |          1 |          0 |          0 |          1 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\shortShare.js                                                                                                                  | JavaScript |          4 |          0 |          0 |          4 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snap\TweenMax.min.js                                                                                                           | JavaScript |          4 |         13 |          0 |         17 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snap\index.js                                                                                                                  | JavaScript |        409 |         50 |          0 |        459 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snap\jquery.min.js                                                                                                             | JavaScript |          3 |          1 |          1 |          5 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snap\snap.svg-min.js                                                                                                           | JavaScript |          2 |         19 |          1 |         22 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snap\snap.svg-min.v2.js                                                                                                        | JavaScript |          3 |         17 |          0 |         20 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\index.html                                                                                                                | HTML       |        142 |          0 |          1 |        143 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\spop.css                                                                                                                  | CSS        |        254 |          5 |         25 |        284 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\spop.js                                                                                                                   | JavaScript |        135 |          6 |         61 |        202 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\spop.min.css                                                                                                              | CSS        |          2 |          3 |          0 |          5 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\spop.min.js                                                                                                               | JavaScript |          1 |          5 |          0 |          6 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\src\_normalize.scss                                                                                                       | SCSS       |        180 |        162 |         86 |        428 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\src\_prism.scss                                                                                                           | SCSS       |         91 |         25 |         22 |        138 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\src\_variables.scss                                                                                                       | SCSS       |         30 |          0 |         10 |         40 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\src\index.jade                                                                                                            | Pug        |        149 |          0 |         41 |        190 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\src\prism.js                                                                                                              | JavaScript |          6 |          1 |          1 |          8 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\src\scripts.js                                                                                                            | JavaScript |        243 |          4 |         49 |        296 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\src\scripts.min.js                                                                                                        | JavaScript |          1 |          0 |          0 |          1 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\src\styles.min.css                                                                                                        | CSS        |          2 |          1 |          0 |          3 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\src\styles.scss                                                                                                           | SCSS       |        254 |          3 |         49 |        306 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\snop\sweetalert.min.js                                                                                                         | JavaScript |          1 |          0 |          0 |          1 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\sql.js                                                                                                                         | JavaScript |        273 |        263 |        103 |        639 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\assets\css\bootstrap.min.css                                                                                      | CSS        |      3,266 |         87 |        800 |      4,153 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\assets\css\style.css                                                                                              | CSS        |         69 |          0 |         16 |         85 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\assets\fonts\glyphiconshalflings-regular.svg                                                                      | XML        |        175 |          0 |          0 |        175 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\assets\js\bootstrap.min.js                                                                                        | JavaScript |          1 |          5 |          0 |          6 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\assets\js\jquery.min.js                                                                                           | JavaScript |          3 |          2 |          0 |          5 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\data\movies.json                                                                                                  | JSON       |          1 |          0 |          1 |          2 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\movie_data.js                                                                                                     | JavaScript |         23 |          0 |          3 |         26 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\stream_table.js                                                                                                   | JavaScript |        425 |         20 |        121 |        566 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\stream_table.min.js                                                                                               | JavaScript |          1 |         12 |          0 |         13 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\vendors\handlebars.js                                                                                             | JavaScript |      1,653 |        244 |        304 |      2,201 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\vendors\hogan-3.0.0.amd.js                                                                                        | JavaScript |        571 |         40 |        133 |        744 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\stream_table\vendors\mustache.js                                                                                               | JavaScript |        425 |         73 |        113 |        611 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\svg.js                                                                                                                         | JavaScript |      3,614 |      1,014 |        975 |      5,603 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\svgdata.js                                                                                                                     | JavaScript |         34 |         10 |         12 |         56 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\text.js                                                                                                                        | JavaScript |         18 |          5 |          5 |         28 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\tickets.js                                                                                                                     | JavaScript |        282 |         41 |         56 |        379 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\tooltips.js                                                                                                                    | JavaScript |         30 |          5 |          7 |         42 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\trees\trees.js                                                                                                                 | JavaScript |      1,101 |        121 |        220 |      1,442 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\trello.js                                                                                                                      | JavaScript |         78 |          6 |         10 |         94 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\update.js                                                                                                                      | JavaScript |        191 |         84 |         30 |        305 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\alt\video-js-cdn.css                                                                                                | CSS        |      1,070 |          6 |        211 |      1,287 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\alt\video-js-cdn.min.css                                                                                            | CSS        |          1 |          0 |          0 |          1 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\alt\video.core.js                                                                                                   | JavaScript |     11,448 |     11,035 |      4,386 |     26,869 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\alt\video.core.min.js                                                                                               | JavaScript |          1 |         11 |          0 |         12 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\alt\video.core.novtt.js                                                                                             | JavaScript |     10,155 |     10,830 |      4,067 |     25,052 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\alt\video.core.novtt.min.js                                                                                         | JavaScript |          1 |         11 |          0 |         12 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\alt\video.novtt.js                                                                                                  | JavaScript |     28,254 |     17,120 |      9,023 |     54,397 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\alt\video.novtt.min.js                                                                                              | JavaScript |          1 |         11 |          0 |         12 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\examples\elephantsdream\index.html                                                                                  | HTML       |         25 |          5 |         12 |         42 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\examples\index.html                                                                                                 | HTML       |         14 |          0 |          5 |         19 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\examples\simple-embed\index.html                                                                                    | HTML       |         18 |          0 |          6 |         24 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\font\VideoJS.svg                                                                                                    | XML        |        108 |          0 |          1 |        109 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\lang\ar.js                                                                                                          | JavaScript |         34 |          0 |          0 |         34 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\lang\ba.js                                                                                                          | JavaScript |         26 |          0 |          0 |         26 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\lang\bg.js                                                                                                          | JavaScript |         26 |          0 |          0 |         26 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\lang\ca.js                                                                                                          | JavaScript |         26 |          0 |          0 |         26 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\lang\cs.js                                                                                                          | JavaScript |         85 |          0 |          0 |         85 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\lang\da.js                                                                                                          | JavaScript |         26 |          0 |          0 |         26 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\lang\de.js                                                                                                          | JavaScript |         84 |          0 |          0 |         84 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\lang\el.js                                                                                                          | JavaScript |         40 |          0 |          0 |         40 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\lang\en.js                                                                                                          | JavaScript |         85 |          0 |          0 |         85 |
| d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\plugins\video-js-7\lang\es.js                                                                                                          | JavaScript |         27 |          0 |          0 |         27 |
